model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9	start_time_10	start_time_11	start_time_12	start_time_13	start_time_14	start_time_15	start_time_16	start_time_17	start_time_18	start_time_19
M_11000100000000010010000001010001	15.813223838806152	16.80244957600863	51.60489915201726	52.348700804909825	83.36976093962008	12	0.5107941627502441	1.1515460014343262	0.893136739730835	0.7301640510559082	0.7884213924407959	0.6808722019195557	0.978252649307251	0.7039759159088135	0.743506669998169	0.865809440612793	3.453794479370117	0.6982924938201904	0.8367948532104492	0.33898162841796875	0.683058500289917	0.24426603317260742	0.381150484085083	0.22677874565124512	0.4381396770477295	0.4654877185821533
M_11000000001000010010000001010001	41.015843629837036	28.46900215070357	74.93800430140715	75.6818059542997	106.70286608900994	14	0.9388031959533691	1.5514676570892334	3.9025826454162598	0.941138744354248	2.766530752182007	2.141843795776367	2.231672525405884	3.8405416011810303	1.7016031742095947	1.2348639965057373	2.044243812561035	1.795997142791748	6.2074902057647705	5.982337236404419	2.778414487838745	0.21933221817016602	0.17355942726135254	0.19057679176330566	0.19422411918640137	0.1786201000213623
M_11000100001000010010000001010000	25.05615758895874	89.96671466202042	197.93342932404084	198.6772309769334	229.69829111164364	10	2.165785074234009	0.9440531730651855	2.403262138366699	2.790038824081421	1.5196902751922607	1.859525203704834	2.5217432975769043	2.6050965785980225	0.8169667720794678	3.1379504203796387	2.073927640914917	0.37578868865966797	0.291703462600708	0.22188949584960938	0.25712156295776367	0.15227627754211426	0.29984188079833984	0.16113758087158203	0.23403644561767578	0.22432279586791992
M_01000100101000000010000001010001	10.349400043487549	27.44973652169157	72.89947304338314	73.6432746962757	104.66433483098595	19	0.5040884017944336	0.3537430763244629	0.6612155437469482	0.4687333106994629	0.38985657691955566	0.3373534679412842	0.588752269744873	0.6687393188476562	0.694568395614624	0.4078986644744873	0.6724684238433838	0.3681001663208008	0.5032951831817627	0.4664926528930664	0.5197098255157471	0.46254444122314453	0.6330313682556152	0.7413902282714844	0.39979100227355957	0.5076277256011963
M_00000100101000010010000001010001	14.115832090377808	21.07139677462054	60.14279354924108	60.88659520213364	91.90765533684389	15	0.8182337284088135	0.6286370754241943	0.37528300285339355	0.45832300186157227	0.43093419075012207	0.7717092037200928	0.8650803565979004	0.9709136486053467	0.880584716796875	0.5130655765533447	0.6229920387268066	1.169393539428711	0.62774658203125	0.8267812728881836	1.189464807510376	0.44141602516174316	1.045280933380127	0.4105980396270752	0.7053515911102295	0.3640427589416504
M_01000100101000010000000001010001	15.209467887878418	30.107762694940146	78.2155253898803	78.95932704277286	109.9803871774831	17	0.5777511596679688	0.6954481601715088	1.0683739185333252	0.6900928020477295	0.34406423568725586	0.7754464149475098	0.8734922409057617	0.7795658111572266	0.8797926902770996	0.48247647285461426	0.6230723857879639	0.8120777606964111	0.9691736698150635	0.8404405117034912	1.1597788333892822	0.600064754486084	1.1114392280578613	0.635516881942749	0.660372257232666	0.6310276985168457
M_01000100101000010010000000010001	13.458732604980469	16.15540232509415	50.3108046501883	51.05460630308087	82.07566643779111	15	0.5112690925598145	0.9146103858947754	0.4458010196685791	1.3012123107910156	0.6511669158935547	0.7911925315856934	0.34182238578796387	0.5009686946868896	0.6677107810974121	0.27484798431396484	0.6365818977355957	0.6742055416107178	0.42740368843078613	0.6883282661437988	1.623581886291504	0.9974000453948975	0.6834652423858643	0.3885066509246826	0.5656704902648926	0.3729867935180664
M_01000100100000010010000001010001	19.411206245422363	20.679573740199864	59.35914748039973	60.10294913329229	91.12400926800254	18	1.1483957767486572	1.4230232238769531	0.5299878120422363	0.4178578853607178	0.5841026306152344	0.5975329875946045	1.9575574398040771	0.8439371585845947	0.54693603515625	0.9897956848144531	0.4822359085083008	1.1136820316314697	1.0535252094268799	0.8760182857513428	1.271897554397583	0.6886856555938721	1.8225572109222412	2.0963733196258545	0.6102995872497559	0.35680484771728516
M_01000000101000010010000001010001	13.730793714523315	40.57531516627997	99.15063033255994	99.8944319854525	130.91549212016275	16	0.6084742546081543	0.8510105609893799	0.7053093910217285	0.8340644836425781	0.9919795989990234	1.2374005317687988	0.7657809257507324	0.7041580677032471	0.5671408176422119	0.49226975440979004	0.6082086563110352	0.4157404899597168	0.8344411849975586	1.1276369094848633	0.8741765022277832	0.5113751888275146	0.4039907455444336	0.6638555526733398	0.22512602806091309	0.3086540699005127
M_01000100101000010010000001010000	10.66964054107666	95.26744426895695	208.5348885379139	209.27869019080646	240.2997503255167	19	0.7636814117431641	0.4528157711029053	0.4819920063018799	0.2604048252105713	0.4268224239349365	0.5280649662017822	0.3625798225402832	0.46535730361938477	0.4710693359375	1.0886356830596924	0.48363757133483887	0.29485058784484863	0.6008727550506592	0.8582029342651367	0.45760154724121094	0.5935630798339844	0.4104280471801758	0.625159740447998	0.489274263381958	0.55462646484375
